T_K,t,H,M
32.2,-0.01949,0.00219399,0.296306
32.2,-0.01949,0.00442993,0.327075
32.2,-0.01949,0.00776592,0.357844
32.2,-0.01949,0.012279,0.388614
32.2,-0.01949,0.0184497,0.419383
32.2,-0.01949,0.0261566,0.450152
32.2,-0.01949,0.035855,0.480921
32.2,-0.01949,0.0486523,0.511691
32.2,-0.01949,0.064559,0.54246
32.2,-0.01949,0.0824686,0.573229
32.2,-0.01949,0.104487,0.603998
32.2,-0.01949,0.130686,0.634767
32.2,-0.01949,0.161828,0.665537
32.2,-0.01949,0.198827,0.696306
32.2,-0.01949,0.239949,0.727075
32.2,-0.01949,0.292198,0.757844
32.2,-0.01949,0.345236,0.788614
32.2,-0.01949,0.40936,0.819383
32.2,-0.01949,0.48443,0.850152
32.2,-0.01949,0.566191,0.880921
32.2,-0.01949,0.652204,0.911691
32.2,-0.01949,0.755831,0.94246
32.2,-0.01949,0.871041,0.973229
32.2,-0.01949,0.992644,1.004
32.2,-0.01949,1.12268,1.03477
32.2,-0.01949,1.29046,1.06554
32.2,-0.01949,1.4616,1.09631
32.5,-0.01035,0,0.186015
32.5,-0.01035,0.000390051,0.216784
32.5,-0.01035,0.00120645,0.247553
32.5,-0.01035,0.00255788,0.278323
32.5,-0.01035,0.0046238,0.309092
32.5,-0.01035,0.00764636,0.339861
32.5,-0.01035,0.0117747,0.37063
32.5,-0.01035,0.0172008,0.4014
32.5,-0.01035,0.0243142,0.432169
32.5,-0.01035,0.0334152,0.462938
32.5,-0.01035,0.0446388,0.493707
32.5,-0.01035,0.0586057,0.524477
32.5,-0.01035,0.0754,0.555246
32.5,-0.01035,0.0961195,0.586015
32.5,-0.01035,0.12192,0.616784
32.5,-0.01035,0.150024,0.647553
32.5,-0.01035,0.182804,0.678323
32.5,-0.01035,0.221811,0.709092
32.5,-0.01035,0.266457,0.739861
32.5,-0.01035,0.320169,0.77063
32.5,-0.01035,0.379598,0.8014
32.5,-0.01035,0.442937,0.832169
32.5,-0.01035,0.523459,0.862938
32.5,-0.01035,0.605982,0.893707
32.5,-0.01035,0.708532,0.924477
32.5,-0.01035,0.811055,0.955246
32.5,-0.01035,0.937273,0.986015
32.5,-0.01035,1.0586,1.01678
32.5,-0.01035,1.20482,1.04755
32.5,-0.01035,1.36891,1.07832
32.7,-0.00426,0,0.134196
32.7,-0.00426,0.000161599,0.164965
32.7,-0.00426,0.000540616,0.195734
32.7,-0.00426,0.00124589,0.226503
32.7,-0.00426,0.00239053,0.257273
32.7,-0.00426,0.00412333,0.288042
32.7,-0.00426,0.00662594,0.318811
32.7,-0.00426,0.0102276,0.34958
32.7,-0.00426,0.0148075,0.38035
32.7,-0.00426,0.0209077,0.411119
32.7,-0.00426,0.0289963,0.441888
32.7,-0.00426,0.0388984,0.472657
32.7,-0.00426,0.0512262,0.503427
32.7,-0.00426,0.0666539,0.534196
32.7,-0.00426,0.0849295,0.564965
32.7,-0.00426,0.106856,0.595734
32.7,-0.00426,0.133321,0.626503
32.7,-0.00426,0.163504,0.657273
32.7,-0.00426,0.198354,0.688042
32.7,-0.00426,0.239891,0.718811
32.7,-0.00426,0.287194,0.74958
32.7,-0.00426,0.342807,0.78035
32.7,-0.00426,0.402321,0.811119
32.7,-0.00426,0.470448,0.841888
32.7,-0.00426,0.554315,0.872657
32.7,-0.00426,0.638787,0.903427
32.7,-0.00426,0.735392,0.934196
32.7,-0.00426,0.855168,0.964965
32.7,-0.00426,0.973288,0.995734
32.7,-0.00426,1.11587,1.0265
32.7,-0.00426,1.26021,1.05727
32.7,-0.00426,1.42109,1.08804
32.84,0.0,3.81322e-10,0.00630957
32.84,0.0,6.8437e-10,0.00722727
32.84,0.0,1.22525e-09,0.00827844
32.84,0.0,2.18494e-09,0.0094825
32.84,0.0,3.91769e-09,0.0108617
32.84,0.0,6.9615e-09,0.0124415
32.84,0.0,1.25456e-08,0.014251
32.84,0.0,2.2231e-08,0.0163238
32.84,0.0,4.00738e-08,0.018698
32.84,0.0,7.19787e-08,0.0214175
32.84,0.0,1.28964e-07,0.0245326
32.84,0.0,2.31323e-07,0.0281008
32.84,0.0,4.0694e-07,0.0321879
32.84,0.0,7.36169e-07,0.0368695
32.84,0.0,1.31934e-06,0.0422319
32.84,0.0,2.35656e-06,0.0483744
32.84,0.0,4.17389e-06,0.0554102
32.84,0.0,7.51394e-06,0.0634694
32.84,0.0,1.35333e-05,0.0727007
32.84,0.0,2.37975e-05,0.0832747
32.84,0.0,4.29772e-05,0.0953866
32.84,0.0,7.70946e-05,0.10926
32.84,0.0,0.000136619,0.125151
32.84,0.0,0.000245867,0.143354
32.84,0.0,0.000436028,0.164204
32.84,0.0,0.000780709,0.188087
32.84,0.0,0.00139601,0.215443
32.84,0.0,0.00250896,0.246779
32.84,0.0,0.00448012,0.282672
32.84,0.0,0.00805312,0.323785
32.84,0.0,0.0142646,0.370878
32.84,0.0,0.0256114,0.42482
32.84,0.0,0.0460479,0.486608
32.84,0.0,0.0821778,0.557383
32.84,0.0,0.145567,0.638452
32.84,0.0,0.262906,0.731312
32.84,0.0,0.467443,0.837678
32.84,0.0,0.83949,0.959514
32.84,0.0,1.50052,1.09907
33.0,0.00487,1.02739e-05,0.00630957
33.0,0.00487,1.1705e-05,0.00722727
33.0,0.00487,1.32777e-05,0.00827844
33.0,0.00487,1.52497e-05,0.0094825
33.0,0.00487,1.76587e-05,0.0108617
33.0,0.00487,2.01376e-05,0.0124415
33.0,0.00487,2.32448e-05,0.014251
33.0,0.00487,2.65394e-05,0.0163238
33.0,0.00487,3.02906e-05,0.018698
33.0,0.00487,3.50928e-05,0.0214175
33.0,0.00487,3.99465e-05,0.0245326
33.0,0.00487,4.56805e-05,0.0281008
33.0,0.00487,5.3768e-05,0.0321879
33.0,0.00487,6.09548e-05,0.0368695
33.0,0.00487,7.16898e-05,0.0422319
33.0,0.00487,8.38574e-05,0.0483744
33.0,0.00487,9.83542e-05,0.0554102
33.0,0.00487,0.000116051,0.0634694
33.0,0.00487,0.000142224,0.0727007
33.0,0.00487,0.000173304,0.0832747
33.0,0.00487,0.000219446,0.0953866
33.0,0.00487,0.000287993,0.10926
33.0,0.00487,0.000392282,0.125151
33.0,0.00487,0.000551516,0.143354
33.0,0.00487,0.00081174,0.164204
33.0,0.00487,0.00123158,0.188087
33.0,0.00487,0.00195043,0.215443
33.0,0.00487,0.00316308,0.246779
33.0,0.00487,0.00530262,0.282672
33.0,0.00487,0.00906193,0.323785
33.0,0.00487,0.0155661,0.370878
33.0,0.00487,0.027244,0.42482
33.0,0.00487,0.0476058,0.486608
33.0,0.00487,0.0840633,0.557383
33.0,0.00487,0.149489,0.638452
33.0,0.00487,0.265387,0.731312
33.0,0.00487,0.474428,0.837678
33.0,0.00487,0.844143,0.959514
33.3,0.01401,3.6845e-05,0.00630957
33.3,0.01401,4.17956e-05,0.00722727
33.3,0.01401,4.78755e-05,0.00827844
33.3,0.01401,5.46202e-05,0.0094825
33.3,0.01401,6.29064e-05,0.0108617
33.3,0.01401,7.23064e-05,0.0124415
33.3,0.01401,8.22568e-05,0.014251
33.3,0.01401,9.45821e-05,0.0163238
33.3,0.01401,0.000108813,0.018698
33.3,0.01401,0.00012421,0.0214175
33.3,0.01401,0.000142156,0.0245326
33.3,0.01401,0.000164314,0.0281008
33.3,0.01401,0.00018783,0.0321879
33.3,0.01401,0.000216196,0.0368695
33.3,0.01401,0.000249806,0.0422319
33.3,0.01401,0.000288104,0.0483744
33.3,0.01401,0.000330855,0.0554102
33.3,0.01401,0.000384105,0.0634694
33.3,0.01401,0.00045088,0.0727007
33.3,0.01401,0.000530527,0.0832747
33.3,0.01401,0.000627333,0.0953866
33.3,0.01401,0.000772555,0.10926
33.3,0.01401,0.000950113,0.125151
33.3,0.01401,0.00121162,0.143354
33.3,0.01401,0.00157469,0.164204
33.3,0.01401,0.00217059,0.188087
33.3,0.01401,0.00304774,0.215443
33.3,0.01401,0.00451018,0.246779
33.3,0.01401,0.00687662,0.282672
33.3,0.01401,0.0109922,0.323785
33.3,0.01401,0.0179734,0.370878
33.3,0.01401,0.030101,0.42482
33.3,0.01401,0.0514813,0.486608
33.3,0.01401,0.088805,0.557383
33.3,0.01401,0.15572,0.638452
33.3,0.01401,0.271801,0.731312
33.3,0.01401,0.479016,0.837678
33.3,0.01401,0.85367,0.959514
33.8,0.02923,8.90477e-05,0.00630957
33.8,0.02923,0.000102315,0.00722727
33.8,0.02923,0.000116948,0.00827844
33.8,0.02923,0.000132242,0.0094825
33.8,0.02923,0.000153123,0.0108617
33.8,0.02923,0.000176357,0.0124415
33.8,0.02923,0.00020063,0.014251
33.8,0.02923,0.000229187,0.0163238
33.8,0.02923,0.000263674,0.018698
33.8,0.02923,0.000300911,0.0214175
33.8,0.02923,0.000346837,0.0245326
33.8,0.02923,0.000396298,0.0281008
33.8,0.02923,0.000457641,0.0321879
33.8,0.02923,0.000522722,0.0368695
33.8,0.02923,0.000596487,0.0422319
33.8,0.02923,0.000690119,0.0483744
33.8,0.02923,0.000795653,0.0554102
33.8,0.02923,0.000910897,0.0634694
33.8,0.02923,0.00105466,0.0727007
33.8,0.02923,0.001214,0.0832747
33.8,0.02923,0.00144238,0.0953866
33.8,0.02923,0.0016882,0.10926
33.8,0.02923,0.00199873,0.125151
33.8,0.02923,0.00242719,0.143354
33.8,0.02923,0.00302765,0.164204
33.8,0.02923,0.00386684,0.188087
33.8,0.02923,0.00505342,0.215443
33.8,0.02923,0.0069016,0.246779
33.8,0.02923,0.00970746,0.282672
33.8,0.02923,0.0143173,0.323785
33.8,0.02923,0.022223,0.370878
33.8,0.02923,0.0352418,0.42482
33.8,0.02923,0.0575011,0.486608
33.8,0.02923,0.0969232,0.557383
33.8,0.02923,0.163433,0.638452
33.8,0.02923,0.283228,0.731312
33.8,0.02923,0.49799,0.837678
33.8,0.02923,0.879069,0.959514
34.4,0.0475,0.000159507,0.00630957
34.4,0.0475,0.000184235,0.00722727
34.4,0.0475,0.000208647,0.00827844
34.4,0.0475,0.000240117,0.0094825
34.4,0.0475,0.00027436,0.0108617
34.4,0.0475,0.000312056,0.0124415
34.4,0.0475,0.000360796,0.014251
34.4,0.0475,0.00041471,0.0163238
34.4,0.0475,0.000472547,0.018698
34.4,0.0475,0.000541611,0.0214175
34.4,0.0475,0.000625132,0.0245326
34.4,0.0475,0.000706996,0.0281008
34.4,0.0475,0.000809373,0.0321879
34.4,0.0475,0.000931961,0.0368695
34.4,0.0475,0.00106614,0.0422319
34.4,0.0475,0.0012394,0.0483744
34.4,0.0475,0.0014166,0.0554102
34.4,0.0475,0.00162012,0.0634694
34.4,0.0475,0.0018697,0.0727007
34.4,0.0475,0.00219857,0.0832747
34.4,0.0475,0.00250723,0.0953866
34.4,0.0475,0.00292277,0.10926
34.4,0.0475,0.00345452,0.125151
34.4,0.0475,0.0041116,0.143354
34.4,0.0475,0.00494642,0.164204
34.4,0.0475,0.00604433,0.188087
34.4,0.0475,0.0076036,0.215443
34.4,0.0475,0.00995975,0.246779
34.4,0.0475,0.0133573,0.282672
34.4,0.0475,0.0185459,0.323785
34.4,0.0475,0.0274218,0.370878
34.4,0.0475,0.0415134,0.42482
34.4,0.0475,0.0649518,0.486608
34.4,0.0475,0.105336,0.557383
34.4,0.0475,0.175635,0.638452
34.4,0.0475,0.296569,0.731312
34.4,0.0475,0.508925,0.837678
34.4,0.0475,0.893358,0.959514
